type,account,created_at,so_diem_mua,chuc_danh,,,,,,,,,,,,,,,,
Mua Mpg,thamquan,1/6/2020 16:04,115700000,daily,,,,,,,,,,,,,,,,
Mua Mpg,nganbd,12/6/2020 11:48,90000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,nganbd,12/6/2020 11:47,90000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,nganbd,12/6/2020 11:47,90000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,doanthithuy,25/5/2020 20:35,90000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,doanthithuy,25/5/2020 20:35,90000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Hoaduong86,27/5/2020 8:50,80360000,daily,,,,,,,,,,,,,,,,
Mua Mpg,thuonghue88,11/6/2020 14:00,71000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Huyhuy07,12/6/2020 18:00,70000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Tuantg1,11/6/2020 6:27,70000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,phamthuy,1/6/2020 16:38,60000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Hongquandc,12/6/2020 10:10,57000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Thuha97,10/6/2020 18:57,51913000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Hoaduong86,12/6/2020 18:23,51580000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Hoaduong86,14/5/2020 21:18,51106000,daily,,,,,,,,,,,,,,,,
Mua Mpg,lanct,27/5/2020 19:45,50290000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Senca93,19/5/2020 17:29,50055000,daily,,,,,,,,,,,,,,,,
Mua Mpg,ly64,4/7/2020 6:52,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,ly64,4/7/2020 6:52,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,Nguyenhong02,12/6/2020 20:23,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,thungan,12/6/2020 14:27,50000000,daily,,,,,,,,,,,,,,,,
Mua Mpg,thanhtruc,12/6/2020 10:53,50000000,daily,,,,,,,,,,,,,,,,
